day,hour,listeners,pageviews,host,showName,slug,archive_slug,description
0,0,30,16,,Atmospherics,ATM,ATM_10000,"Ambient, drone; spaced-out textures for deep meditation."
0,1,29,15,,Atmospherics,ATM,ATM_10000,"Ambient, drone; spaced-out textures for deep meditation."
0,2,26,3,,Atmospherics,ATM,ATM_10000,"Ambient, drone; spaced-out textures for deep meditation."
0,3,24,1,,Overnight Alternatives,OA,OA_10300,"A 3-hour deconstruction of music and sound. During Overnight Alternatives we play anything and everything, but with an emphasis on the experimental: noise, avant-garde jazz, free improvisation, industrial, power electronics... In other words, the most extreme music on the radio."
0,4,23,6,,Overnight Alternatives,OA,OA_10300,"A 3-hour deconstruction of music and sound. During Overnight Alternatives we play anything and everything, but with an emphasis on the experimental: noise, avant-garde jazz, free improvisation, industrial, power electronics... In other words, the most extreme music on the radio."
0,5,23,4,,Overnight Alternatives,OA,OA_10300,"A 3-hour deconstruction of music and sound. During Overnight Alternatives we play anything and everything, but with an emphasis on the experimental: noise, avant-garde jazz, free improvisation, industrial, power electronics... In other words, the most extreme music on the radio."
0,6,23,1,,Classics,CL,CL_10600,"WREK's classical music rotation. You can expect to hear music from the full historical spectrum of the Western art tradition, from the pre-Common Practice era through today's most innovative composers. A refreshing alternative to classical programming on other non-commercial stations."
0,7,26,26,,Classics,CL,CL_10600,"WREK's classical music rotation. You can expect to hear music from the full historical spectrum of the Western art tradition, from the pre-Common Practice era through today's most innovative composers. A refreshing alternative to classical programming on other non-commercial stations."
0,8,24,47,,Classics,CL,CL_10600,"WREK's classical music rotation. You can expect to hear music from the full historical spectrum of the Western art tradition, from the pre-Common Practice era through today's most innovative composers. A refreshing alternative to classical programming on other non-commercial stations."
0,9,23,34,,Jazz,JAZZ,JAZZ_10900,"The name says it all: traditional jazz, modern jazz, hot jazz, cool jazz, free jazz, unfree jazz, jazz fusion, jazz fission."
0,10,25,41,,Jazz,JAZZ,JAZZ_10900,"The name says it all: traditional jazz, modern jazz, hot jazz, cool jazz, free jazz, unfree jazz, jazz fusion, jazz fission."
0,11,27,36,,Jazz,JAZZ,JAZZ_10900,"The name says it all: traditional jazz, modern jazz, hot jazz, cool jazz, free jazz, unfree jazz, jazz fusion, jazz fission."
0,12,26,79,,North Avenue Lounge,NAL,NAL,"The North Avenue Lounge is WREK's interview show.
Every Monday at noon, you can hear a conversation with almost anyone: artists, writers, professors, students, scientists, engineers, musicians, and other fascinating people from Georgia Tech and elsewhere.
We've talked about everything from building an astrophysics lab to dancing ballet to being a blacksmith.
Tune in each Monday at noon to hear an interesting conversation about almost anything."
0,13,27,44,,"Rock, Rhythm, and Roll",RRR,RRR_11300,"WREK's interpretation of the standard ""college rock"" format, featuring quality, diverse music from a number of genres from the rock and roll tradition: rock, blues, hip-hop, R&B, reggae, dub, indie, punk, metal, IDM, electro, and more."
